EpLenMean,TimestepsSoFar,EpThisIter,ev_tdlam_before,optimgain,EpisodesSoFar,TimeElapsed,meankl,entropy,surrgain,entloss,EpRewMean,EpTrueRewMean
94.3,631056,11,0.8783042579889297,0.31062448,2784,1163.6644744873047,0.014295454,23.35272,0.31062448,0.0,481.42596652119755,481.42596652119755
98.4,633945,9,0.8963253200054169,0.15840739,2793,1169.499989271164,0.0038556547,23.353754,0.15840739,0.0,505.2607521309475,505.2607521309475
100.25,636741,9,0.903799794614315,0.15405983,2802,1175.2979047298431,0.004527591,23.352274,0.15405983,0.0,518.2067732597916,518.2067732597916
99.425,639573,10,0.9015066847205162,0.14278874,2812,1180.893944978714,0.0039572474,23.352213,0.14278874,0.0,507.2758925401251,507.2758925401251
98.85,642690,11,0.8868062049150467,0.1440812,2823,1186.6187167167664,0.003930142,23.351315,0.1440812,0.0,505.95005222754037,505.95005222754037
96.675,645843,11,0.9155842587351799,0.14412174,2834,1192.3604898452759,0.0039033284,23.34863,0.14412174,0.0,489.72038131552216,489.72038131552216
90.775,648831,12,0.9255983829498291,0.14848134,2846,1198.1413686275482,0.0038237856,23.348066,0.14848134,0.0,460.51683763540933,460.51683763540933
93.925,652038,10,0.8748344033956528,0.16270646,2856,1203.7620050907135,0.004265937,23.345638,0.16270646,0.0,478.9072624786312,478.9072624786312
96.45,654930,9,0.8892848938703537,0.16320474,2865,1209.494040966034,0.0038528652,23.345537,0.16320474,0.0,492.87442982392474,492.87442982392474
100.775,658164,10,0.9065548479557037,0.14762522,2875,1215.2753114700317,0.0040573822,23.345213,0.14762522,0.0,517.1020002533689,517.1020002533689
106.5,661305,10,0.895744189620018,0.17165509,2885,1220.9418997764587,0.0042186435,23.341534,0.17165509,0.0,550.5006027760511,550.5006027760511
102.925,664134,10,0.9180895537137985,0.13685915,2895,1226.710021018982,0.004042433,23.344461,0.13685915,0.0,528.5512701470903,528.5512701470903
101.025,667401,11,0.9241408258676529,0.27396277,2906,1232.3790650367737,0.014249566,23.341045,0.27396277,0.0,523.4424387368815,523.4424387368815
99.275,670632,11,0.9319707304239273,0.25834003,2917,1238.0271112918854,0.014497428,23.342772,0.25834003,0.0,509.147863465483,509.147863465483
97.025,673965,12,0.9299371019005775,0.14908493,2929,1243.7519681453705,0.0038699277,23.3435,0.14908493,0.0,491.8897514712379,491.8897514712379
94.675,677106,11,0.9412013068795204,0.13860835,2940,1249.5920345783234,0.0037780069,23.340757,0.13860835,0.0,483.3992745838538,483.3992745838538
98.675,680085,9,0.8567356467247009,0.1469107,2949,1255.2734475135803,0.0040610256,23.338556,0.1469107,0.0,504.47140087092504,504.47140087092504
99.075,683058,10,0.8928646668791771,0.14755577,2959,1260.836604833603,0.0038025253,23.337484,0.14755577,0.0,509.43742999902844,509.43742999902844
96.925,686208,12,0.9020252898335457,0.2719475,2971,1266.6399641036987,0.014668364,23.337713,0.2719475,0.0,497.17888393264604,497.17888393264604
99.3,689301,10,0.9110285118222237,0.30899274,2981,1272.3040971755981,0.014662169,23.336992,0.30899274,0.0,507.3909185352539,507.3909185352539
96.825,692355,10,0.8856415078043938,0.3448704,2991,1277.9616906642914,0.014183342,23.334738,0.3448704,0.0,490.95840752552266,490.95840752552266
99.725,695316,9,0.8989735990762711,0.17591684,3000,1283.7951109409332,0.004224768,23.335527,0.17591684,0.0,507.277284807681,507.277284807681
101.7,698145,10,0.9030433595180511,0.20227428,3010,1289.6819183826447,0.004163519,23.3352,0.20227428,0.0,523.9252988743684,523.9252988743684
99.075,700968,10,0.9389351196587086,0.14675081,3020,1295.382800579071,0.004225009,23.333746,0.14675081,0.0,512.5326197230206,512.5326197230206
97.175,704016,11,0.9189005568623543,0.1510991,3031,1301.1239883899689,0.0041835112,23.333475,0.1510991,0.0,503.4043727466398,503.4043727466398
95.875,707049,10,0.9112178981304169,0.14708367,3041,1306.8408162593842,0.0040830346,23.33187,0.14708367,0.0,496.1198019563326,496.1198019563326
96.075,710196,11,0.8657061159610748,0.22345623,3052,1312.582494020462,0.0044892076,23.331526,0.22345623,0.0,496.6921545615366,496.6921545615366
100.725,713055,8,0.8384598940610886,0.1644752,3060,1318.2269558906555,0.004029859,23.328058,0.1644752,0.0,519.493705197327,519.493705197327
